5A-151 Spinnaker WayConcord, OntarioL4K 4C3
6-14845 Yonge StSuite 147Aurora, OntarioL4G 6H8
214-222 Finch Ave WNorth York, OntarioM2R 1M6


45 Levis StreetSudbury, OntarioP3C 2G8
22790 Amiens RdKomoka, OntarioN0L 1R0
1000-123 Front St WToronto, OntarioM5J 2M2

2275 Midland AveUnit 2Scarborough, OntarioM1P 3E7






257-13300 Tecumseh Rd ETecumseh, OntarioN8N 4R8

6019 VineyardOttawa, OntarioK1C 2T7
70 Pine StreetBracebridge, OntarioP1L 1N3
6311 Old Church RoadCaledon, OntarioL7C 1J6
129 Day AveToronto, OntarioM6E 3W1


4-8 Lisgar StSudbury, OntarioP3E 3L6
6101A Yonge StToronto, OntarioM2M 3W2
200-5255 Yonge StNorth York, OntarioM2N 6P4
122-425 Britannia Rd EMississauga, OntarioL4Z 3E7
36 Paddington GroveBarrie, OntarioL9J 0J3





A-175 Claireville DrEtobicoke, OntarioM9W 6K9


605 Rossland Rd EBox 623Whitby, OntarioL1N 6A3
Ramsey Lake Health Centre41 Ramsey Lake RdSudbury, OntarioP3E 5J1

38 Apex Rdunit ANorth York, OntarioM6A 2V2
Withheld


506-218 Export BlvdMississauga, OntarioL5S 0A7

1575 Laurier StUnit 2Rockland, OntarioK4K 1C8

3100 Garden StP.O. Box 80009Whitby, OntarioL1R 0H1

208A-1 Yorkgate BlvdToronto, OntarioM3N 3A1


12 Fireside DrFreelton, OntarioL8N 2Z7
253-2186 Mountain Grove AveBurlington, OntarioL7P 4X4



202-1400 Highgate RdOttawa, OntarioK2C 2Y6

21 Maud StPoint Edward, OntarioN7V 1P5
1100-20 Bay StToronto, OntarioM5J 2N8
Suite 100 516 O'Conner DriveKingston, OntarioK7P 1N3
1225 Trafalgar RdPO Box 310Oakville, OntarioL6H 0H3
A-41 River Rd EKitchener, OntarioN2B 2G3
1-688 Laidlaw Cr.Kingston, OntarioK7M 5M4
74 Kintyre StCourtice, OntarioL1E 2Y6


82 Water St EElora, OntarioN0B 1S0
UPH 3-885 Progress AveToronto, OntarioM1H 3G3


212-7240 Woodbine AveMarkham, OntarioL3R 1A4

202-3447 Kennedy RdScarborough, OntarioM1V 3S1
59 Pasadena GdnsToronto, OntarioM6S 4R7


60 Waterside CresMaple, OntarioL6A 3X6
154 Bourbon PlWhitby, OntarioL1R 3C6

39A-1170 Sheppard Ave WToronto, OntarioM3K 2A3
Ontario Court Of Justice Bldg45 Sheppard Ave E Suite 900Toronto, OntarioM2N 5W9

139 Horseshoe CresKitchener, OntarioN0B 1M0

307-50 Brian Harrison WayToronto, OntarioM1P 5J4

12E-60 Queen St WOld City HallToronto, OntarioM5H 2M4
6101A Yonge StToronto, OntarioM2M 3W2
595 King St EKitchener, OntarioN2G 2M2

122-425 Britannia Rd EMississauga, OntarioL4Z 3E7
A3-110 North Front St, #185Belleville, OntarioK8P 0A6
171 King St E 2nd FloorOshawa, OntarioL1H 1C2
308-1450 Meyerside DrMississauga, OntarioL5T 2N5
55 Village Centre PlMississauga, OntarioL4Z 1V9


277 Foster AveBelleville, OntarioK8N 3R6
2 Sheppard Ave ENorth York, OntarioM2N 5Y7

7123 Muskoka TrailCamlachie, OntarioN0N 1E0
700 University AveToronto, OntarioM5G 0A1
2000-1 Dundas St WToronto, OntarioM5G 2L5



1539 Bloor St WToronto, OntarioM6P 1A5



1200-34 King St EToronto, OntarioM5C 2X8
136 Concord AveToronto, OntarioM6H 2P3
5775 Yonge StSuite 1500Toronto, OntarioM2M 4J1


PO Box 345  Stn AToronto, OntarioM5W 1C2


16945 Leslie StreetNewmarket, OntarioL3Y 9A2
18-7500 Hwy 27Vaughan, OntarioL4H 0J2
119-4211 Sheppard Ave EScarborough, OntarioM1S 5H5
66 Thomas Shepperd DrHolland Landing, OntarioL9N 1C4


38 Apex Rd Unit AToronto, OntarioM6A 2V2
1700-4950 Yonge StToronto, OntarioM2N 6K1

201-3500 Dufferin StNorth York, OntarioM3K 1N2
24A Roblin AveToronto, OntarioM4C 3P8

180 Kent StreetSuite 200Ottawa, OntarioK1P 0B6
PO Box 91Caledon Village, OntarioL7K 3L3

116 Delmar DrHamilton, OntarioL9C 1J9
4-216 Merritt StSt Catharines, OntarioL2T 1J6
37 Criscione DrWoodbridge, OntarioL4H 1W8

1000-33 Bloor St EToronto, OntarioM4W 3H1
8-1234 Reid StRichmond Hill, OntarioL4B 1C1
500-789 Don Mills RdNorth York, OntarioM3C 1T5
Bay Adelaide Centre,East Tower200-8 Adelaide St WToronto, OntarioM5H 0A9
500-33 Yonge StToronto, OntarioM5E 1G4
1050 Notre Dame AveSudbury, OntarioP3A 5C1

19-2014 Valleyrun BlvdLondon, OntarioN6G 5N8

18 Darling StBrantford, OntarioN3T 2K2
122-425 Britannia Rd EMississauga, OntarioL4Z 3E7
222 Bay St, Suite 2500, Box 24Toronto, OntarioM5K 1J5
319-7905 Bayview AveThornhill, OntarioL3T 7N3
600-1545 Carling AveOttawa, OntarioK1Z 8P9




203-2400 Midland AveScarborough, OntarioM1S 5C1
203-2400 Midland AveToronto, OntarioM1S 5C1
6-31 Steeplebush AveBrampton, OntarioL6R 3B4
125 Main St EHamilton, OntarioL8N 3Z3

170 fire Road 5Hanmer, OntarioP3P 0B7

4-115 First StSuite 235Collingwood, OntarioL9Y 4W3

7-505 University AveToronto, OntarioM5G 2P2
6329 Netherhart RdMississauga, OntarioL5T 1A2



400-85 Hanna AveToronto, OntarioM6K 3S3
375 Magna DrAurora, OntarioL4G 7L6





1-248 First StMidland, OntarioL4R 0A8
2-3608 Seminole StWindsor, OntarioN8Y 1Y4
2700 Eglinton Ave WLower Lvl Prosecutor's OfficeYork, OntarioM6M 1V1
105-38 Darling StBrantford, OntarioN3T 6A8

505 University AveToronto, OntarioM5G 2P2
122-425 Britannia Rd, EastMississauga, OntarioL4Z 3E7

200-2800 Skymark AveMississauga, OntarioL4W 5A6



408-15 Gervais DrToronto, OntarioM3C 1Y8
203-10 Cottrelle  BlvdBrampton, OntarioL6S 0E2


401-2800 Skymark AveMississauga, OntarioL4W 5A6




1000 Chrysler DrCIMS 485-12-30Auburn Hills, Michigan48326


600-1545 Carling AveOttawa, OntarioK1Z 8P9




348-14845 Yonge StAurora, OntarioL4G 6H8
2500-222 Bay StToronto, OntarioM5K 1J5
314-5200 Finch Ave EastScarborough, OntarioM1S 4Z5


30 Barbour CresAjax, OntarioL1S 7C5
3280 Bloor Street WestSuite 1200Toronto, OntarioM8X 2X3

6775 Financial DrMississauga, OntarioL5N 0A4

PO Box 38 Strathroy MainStrathroy, OntarioN7G 3J1

100 Wellington SqPO Box 818Brantford, OntarioN3T 2M2
33 Yonge Street, Suite 500Toronto, OntarioM5E 1G4


505 University AveToronto, OntarioM5G 2P2
500-33 Yonge StToronto, OntarioM5E 1G4
201-133 Richmond St WToronto, OntarioM5H 2L3


700 Chapel Hill RdStoney Creek, OntarioL8J 0B5

750-2 Robert Speck PkwyMississauga, OntarioL4Z 1H8
1-1625 Steeles Ave EBrampton, OntarioL6T 4T7


213-75 First StOrangeville, OntarioL9W 5B6

348-14845 Yonge StAurora, OntarioL4G 6H8

3975 Jane StreetSuite 21006Toronto, OntarioM3N 2K1
245 College StSudbury, OntarioP3C 4V4
21 Queen Street EastSuite 404Brampton, OntarioL6W 3P1
204-3100 Rutherford RdVaughan, OntarioL4K 0G6


213-9140 Leslie StRichmond Hill, OntarioL4B 0A9

35 Marbury CrestToronto, OntarioM3A 2G3
2100-181 University AveToronto, OntarioM5H 3M7
500-33 Yonge StToronto, OntarioM5E 1G4

42 Dalhousie AveHamilton, OntarioL8L 3J5
394 Golf Course RdWasaga Beach, OntarioL9Z 1S5



201-6775 Financial DrMississauga, OntarioL5N 0A4
500-33 Yonge StToronto, OntarioM5E 1G4



1-920 Sheppard Ave WToronto, OntarioM3H 0A2
126 Don Hillock DrAurora, OntarioL4G 0G9

1-1098 Peter Robertson BlvdBrampton, OntarioL6R 3A5
500-33 Yonge StToronto, OntarioM5E 1G4

126 Don Hillock DrAurora, OntarioL4G 0G9
101-805 Wilson AveToronto, OntarioM3K 1E4



6b-809 Victoria St NKitchener, OntarioN2B 3C3
2-828 Sheppard Ave WToronto, OntarioM3H 2T3
6-7900 Hurontario StBrampton, OntarioL6Y 0P6
201-197 County Court BlvdBrampton, OntarioL6W 4P6

418-509 Commissioners Rd WestLondon, OntarioN6J 1Y5

126 Don Hillock DrAurora, OntarioL4G 0G9

207N-7 Hayden StToronto, OntarioM4Y 2P2
55 Commerce Valley Dr WSuite 250Thornhill, OntarioL3T 7V9

55 Superior BlvdMississauga, OntarioL5T 2X9
348-14845 Yonge St.Aurora, OntarioL4G 6H8
50 Dickson StPO Box 669Cambridge, OntarioN1R 5W8


500-33 Yonge StToronto, OntarioM5E 1G4

408-15 Gervais DrToronto, OntarioM3C 1Y8
12-6 Dundas St ENapanee, OntarioK7R 1H6
375 University Ave., suite 203Toronto, OntarioM5G 1J5

20 Fawn CresBarrie, OntarioL4N 7Z5
17150 Yonge StNewmarket, OntarioL3Y 8V3
33 Yonge StToronto, OntarioM5E 1G4


126 Don Hillock DrAurora, OntarioL4G 0G9

505 University Ave7th FloorToronto, OntarioM5G 2P2



1100-255 Queens AveLondon, OntarioN6A 5R8
605 Rossland Rd EWhitby, OntarioL1N 0B7

785 Wonderland Road SouthSuite 252London, OntarioN6K 1M6
300-25 Sheppard Ave W.Toronto, OntarioM2N 6S6


348-14845 Yonge StreetAurora, OntarioL4G 6H8




614 Denbury AveOttawa, OntarioK2A 2P1




213-28 Finch Ave WToronto, OntarioM2N 2G7
4-7955 Torbram RdBrampton, OntarioL6T 5B9
117 Peter StreetSuite 209Soho DistrictToronto, OntarioM5V 0M3
RR  12043 Hwy 56Binbrook, OntarioL0R 1C0
1201 Front RdLaSalle, OntarioN9J 2A8
4096 Meadowbrook Dr Unit 121London, OntarioN6L 1G4
102-6775 Financial DrMississauga, OntarioL5N 0A4





1341 Baseline RdOttawa, OntarioK1A 0C5
1 Riverside Dr WSuite 801Windsor, OntarioN9A 5K3
A3-3480 Lawrence Ave EScarborough, OntarioM1H 1A9
5520 Wyandotte St EWindsor, OntarioN8S 1M1

1237 Woodbine AveToronto, OntarioM4C 4E5
78 Davina CircleAurora, OntarioL4G 0T1
15 Brimorton DrToronto, OntarioM1P 3Y8
614-1110 Finch Ave WNorth York, OntarioM3J 2T2
614-1110 Finch Ave WNorth York, OntarioM3J 2T2
300-190 Attwell DrEtobicoke, OntarioM9W 6H8
661 Exeter RoadLondon, OntarioN6E 1L3


88 Harmonia CresWoodbridge, OntarioL4L 3Y3
6-229 BroadwayOrangeville, OntarioL9W 2K1

1200 Commissioners Rd EastUnit 103London, OntarioN5Z 5B6


211 Algonquin Blvd ETimmins, OntarioP4N 1B1
28-20 Queen St WToronto, OntarioM5H 3R3



75 First St Suite 327Orangeville, OntarioL9W 5B6
199 Four Valley DrVaughan, OntarioL4K 0B8
101 McNabb StMarkham, OntarioL3R 4H8
PO Box 9732 Station TOttawa, OntarioK1G 4G4


505 University Avenue20th FloorToronto, OntarioM5G 2P1
505 University Ave20th FloorToronto, OntarioM5S 2P1

500-33 Yonge StToronto, OntarioM5E 1G4
3-419 St Clair StSuite 4Chatham, OntarioN7L 3K4
4 Rosemore RdSt. Catharines, OntarioL2S 1A8
1323-1011 Upper Middle Rd EOakville, OntarioL6H 5Z9

484 Waterloo StreetLondon, OntarioN6B 2P6
1402 - 181 Collier St.Barrie, OntarioL4M 5L6

227 East 23rd StHamilton, OntarioL8V 2X2





1200-3280 Bloor St WToronto, OntarioM8X 2X3


2275 Upper Middle Rd ESuite 700Oakville, OntarioL6H 0C3
280-762 Upper James StHamilton, OntarioL9C 3A2

348-14845 Yonge StAurora, OntarioL4G 6H8

222 Rowntree Dairy RdWoodbridge, OntarioL4L 9T2

1200-3280 Bloor St WToronto, OntarioM8X 2X3
120 Scollard StToronto, OntarioM5R 1G2

2141 Major Mackenzie DrVaughan, OntarioL6A 1T1
17 Peter StScotland, OntarioN0E 1R0
314-191 Sherbourne StToronto, OntarioM5A 3X1
20 Walter English DrEast Gwillimbury, OntarioL9N 0R8




31-274 Burton AveBarrie, OntarioL4N 5W4
Corporate Office Law Dept12-5160 Yonge StToronto, OntarioM2N 6L9


Unit 1-5317 Hwy 7Woodbridge, OntarioL4L 1T4
4273 King St E, Suite 300Kitchener, OntarioN2P 2E9




299 9th St EOwen Sound, OntarioN4K 1N8

3 Settlers CrtWhitby, OntarioL1M 2L3

659 Upper James Street,Suite 201Hamilton, OntarioL9C 5R8

73 Queen St NKitchener, OntarioN2H 2H1
93 Harrison AveAurora, OntarioL4G 1E4
15-8888 Keele StVaughan, OntarioL4K 2N2




1-3560 Victoria Park AveToronto, OntarioM2H 3S3
19-13085 Yonge St Suite 421Richmond Hill, OntarioL4E 0K2
70 Dunfield Aveapt. 1611Toronto, OntarioM4S 3A4

5 Ray Lawson BlvdBrampton, OntarioL6Y 5L7
203-645 King St WestToronto, OntarioM5V 1M5



71-3540 Rutherford RdVaughan, OntarioL4H 3T8
PO Box 40045 Cedar Pointe BarrieBarrie, OntarioL4M 4T5


56 Golden Spruce LaneMaple, OntarioL6A 0C4
280-762 Upper James StHamilton, OntarioL9C 3A2
315-700 Lawrence Ave WToronto, OntarioM6A 3B4
50 High Tech RdRichmond Hill, OntarioL4B 4N7

45 Cedar Point DrBarrie, OntarioL4M 4T5
1575 Laurier StPO Box 1059Rockland, OntarioK4K 1L6
303-131 Wharncliffe Rd SLondon, OntarioN6J 2K4


500-120 Eglinton Ave EToronto, OntarioM4P 1E2

301A-3050 Confederation PkwyMississauga, OntarioL5B 3Z6
303-15 Wertheim CourtRichmond Hill, OntarioL4B 3H7

433 Laundon TerraceMilton, OntarioL9T 7X9


30 Park CresDryden, OntarioP8N 1T6

105 Laurelhurst CresWoodbridge, OntarioL4H 2N1
PO Box 274Waterloo, OntarioN2J 4A4


1200-3280 Bloor St WToronto, OntarioM8X 2X3
730-20 Dundas St WToronto, OntarioM5G 2H1
19 Green Meadow CresRichmond Hill, OntarioL4E 3W7


45 Cedar Pointe DrBarrie, OntarioL4N 5R7

25 Adelene CrescentSt. Catharines, OntarioL2T 3C6
Withheld
3 Robert Speck ParkwayMississauga, OntarioL4Z 2G5
205 Humber College BlvdToronto, OntarioM9W 5L7
50 Young StUxbridge, OntarioL9P 1B7

15-75 Bayly St W  Suite 383Ajax, OntarioL1S 7K7
1 Baylawn DrToronto, OntarioM1S 3M1

PO Box 244Sutton West, OntarioL0E 1R0

103-1200 Commissioners Rd ELondon, OntarioN5Z 4R3
103-1200 Commissioners Rd ELondon, OntarioN5Z 4R3

Reed Group3280 Bloor Street, WestCentre Tower, Suite 1200Toronto, OntarioM8X 2X3
500-3200 Dufferin StToronto, OntarioM6A 3B2



550-55 Commerce Valley Dr WMarkham, OntarioL3T 7V9

10660 Yonge StPO Box 30613Richmond Hill, OntarioL4C 4H0
158 Elm StSudbury, OntarioP3C 1T7
1A-480 Tapscott RdScarborough, OntarioM1B 1W3



300-1565 Carling AveOttawa, OntarioK1Z 8R1

PO Box 74008RPO CentennialBrampton, OntarioL6V 4J7

3-1750 The QueenswaySuite 1287Toronto, OntarioM9C 5H5
152 King St ESecond FloorToronto, OntarioM5A 1J3
7 Coules CrtToronto, OntarioM8W 2N8
PO Box 66174  Pickering RPO TCPickering, OntarioL1V 6P7




605 Rossland Rd ELevel 1  PO Box 740Whitby, OntarioL1N 0B3


80 Division StreetTrenton, OntarioK8V 5S5
1-6745 Century AveMississauga, OntarioL5N 3C9

47 Dundee CresMarkham, OntarioL3R 8Y9

400-70 University AveToronto, OntarioM5J 2M4
200-1130 Dupont StToronto, OntarioM6H 2A2
204-637 College StToronto, OntarioM6G 1B5
122 Olive AvenueToronto, OntarioM2N 4P1


3448 Ellesmere RdScarborough, OntarioM1C 1H3
607-2121 Bathurst StToronto, OntarioM5N 2P3





Withheld
200-2800 Skymark AveMississauga, OntarioL4W 5A6
8029 Hornby RdHalton Hills, OntarioL0P 1E0
Bay Adelaide Centre East200-8 Adelaide Street WestToronto, OntarioM5H 0A9
700-110 Sheppard Ave ENorth York, OntarioM2N 6Y8


201-1100 Clarence St SBox 3Brantford, OntarioN3T 0L8

3-5805 Whittle RdMississauga, OntarioL4Z 2J1

24 Sutherland CresAncaster, OntarioL9K 0H1
1070 Major Mackenzie Dr EPO Box 5003Richmond Hill, OntarioL4S 1P3
1200-3280 Bloor St WToronto, OntarioM8X 2X3


14-8700 Dufferin StConcord, OntarioL4K 4S2
1100-255 Queens AveLondon, OntarioN6A 5R8
200-5700 Yonge StreetToronto, OntarioM2M 4K2
14-8700 Dufferin StConcord, OntarioL4K 4S2

6-2557 Dougall AveSuite 515Windsor, OntarioN8X 1T5

102-21 Hunter St EHamilton, OntarioL8N 1M2

1200-3300 Bloor St WWest TowerEtobicoke, OntarioM8X 2X2
14-8700 Dufferin StConcord, OntarioL4K 4S2
167 35B-10520 Yonge StRichmond Hill, OntarioL4C 3C7
Unit 35B Suite 34810520 Yonge StRichmond Hill, OntarioL4C 3C7


420-3200 Dufferin StToronto, OntarioM6A 2T3

809 Dundas Street ELondon, OntarioN5W 5P6
5 Ray Lawson BlvdBrampton, OntarioL6Y 5L7


280-762 Upper James StHamilton, OntarioL9C 3A2
5-190 Minets Point Rd Ste 229Barrie, OntarioL4N 8J8

299-505 Highway 7 EastMarkham, OntarioL3T 7T1
59 Carden StGuelph, OntarioN1H 2Z9
103-21 King StLondon, OntarioN6A 5H3
20-151 B York St.London, OntarioN6A 1A8
70 Fountain St EGuelph, OntarioN1H 3N6

6194 4th LineTottenham, OntarioL0G 1W0
100 Milverton Drive, Suite 300Mississauga, OntarioL5R 4H1


203-2355 Keele StToronto, OntarioM6M 4A2

A-450 Britannia Rd EMississauga, OntarioL4Z 1X9
300 City Center DriveMississauga, OntarioL5B 3C1

114 Giles Blvd WWindsor, OntarioN9A 6G9

508-1280 Finch Ave WToronto, OntarioM3J 3K6
206 -150 Consumers RdToronto, OntarioM2J 1P9
71-3540 Rutherford RdVaughan, OntarioL4H 3T8



900-45 Sheppard Ave ENorth York, OntarioM2N 5W9
1000 Mount Pleasant RoadUnit 507Toronto, OntarioM4P 2M2
